Sr_no,Oracle soluions coupled wih nex-gen ech fech s z resuls.,Senimen(polariy=0.0 sueciviy=0.0),2017-09-30,20,,,,,
1,Andrew_Clarkson EWFC1913 ,Senimen(polariy=0.0 sueciviy=0.0),2017-09-30,0,,,,,
2,Andrew_Clarkson EWFC1913 Up he Clarkson ???,Senimen(polariy=0.0 sueciviy=0.0),2017-09-30,0,,,,,
3, silennighds: Were giving away some sleep ndles o 2 lucky winners! WEE o ener! #WIN &amp;Cs: hps://.co/4U7Rh9sxPl hps://.\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.6604166666666667 sueciviy=0.6166666666666667),2017-09-30,714,,,,,
4, O2academyix: Win a pair of ? o cinroducing\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s ? ay celeaions! Follow &amp; quoe wih who you wan o see o ener!\n&amp;C\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s: hps\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=1.0 sueciviy=0.4),2017-09-30,19,,,,,
5, Aromisico: YES his #WeekEnd u can win a #COFFEE GIF SE\nJoin in Like/ o #WIN * \n#FridayFeeling #WinCoffee\n*Cs hps://.co/ydK\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.8 sueciviy=0.4),2017-09-30,45,,,,,
6, Aquaadsuk: Join Gru &amp; he Minions on heir advenures wih our Despicae Me ndle! Jus  for he chance o #win!\n&amp;CS: hps://.\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=1.0 sueciviy=0.4),2017-09-30,823,,,,,
7, dama_uk: o  in wih a chance of winning hese gorgeous Coussin Dair os simply follow &amp; ! Ends 06/010 12pm &amp;Cs: hps://.co\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.39999999999999997 sueciviy=0.669047619047619),2017-09-30,665,,,,,
8,os populous counries in 2050:\n\n1 India ??\n2 China ??\n3 US ??\n4 Nigeria ??\n5 Indonesia ??\n6 Pakisan ??\n7 azil\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/REJE0o09wq,Senimen(polariy=0.5 sueciviy=0.5),2017-09-30,1,,,,,
9, nauralworld_: Is #WinIWednesday! FLW &amp;  wih #MyNauralWorld o #win our hair reamen oils. Ends 29.9 &amp;Cs hps://.co/GpJL\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.8 sueciviy=0.4),2017-09-30,367,,,,,
10, lanceacive: Happy #WinIWednesday! FLW &amp;  wih #lanceAciveFormula o #win our Dragons ood range ? Ends 29.9. &amp;Cs hps://\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.9 sueciviy=0.7),2017-09-30,758,,,,,
11, nauralworld_: Happy #WinIWednesday ? FLW &amp;  wih #MyNauralWorld o #win our hair reamen oils. Ends 29.9 &amp;Cs hps://.co/Gp\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.8 sueciviy=0.7),2017-09-30,521,,,,,
12, ColorspoUK: Is #FreeeFriday ime! FLW &amp;  wih #Colorspo o #win our 30 Day ining kis ? &amp;Cs apply hps://.co/hdV0oGS7sJ\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.8 sueciviy=0.4),2017-09-30,471,,,,, 
13, PicknPay: Wan R50 off a fuure shop? If you\xc3\xa2\xe2\x82\xac\xe2\x84\xa2re a Sma Shopper we can make i happen! s &amp; Cs &g; hps://.co/iCVUYc3dJhps://.co/y\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.13392857142857142 sueciviy=0.38392857142857145),2017-09-30,36,,,,,
14, Aul19India: IndianDiplomacy PrakashJavdekar HRDMinisry IndEmoscow Sir Why no acion on #SchoolFeeLoo? #PresidiumouringKids\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=-0.05 sueciviy=0.1),2017-09-30,21,,,,,
15, SoFragrance: #Win a So...? Floral Crush EPD &amp; Fragrance Mis now!  Follow &amp; ag your F!\n#Giveaway #Compeiion  &amp;Cs -hps://.c\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=1.0 sueciviy=0.4),2017-09-30,82,,,,,
16, YSHased: 170930 Yoo Seung Ho fanmeeing in Mielparque Hall Osaka\n\xc3\xa2\xe2\x82\xac\xc2\xa2\nCr: as agged\n\xc3\xa2\xe2\x82\xac\xc2\xa2\n#??? #???? #yooseungho #fanmeeing #YSHased #yo\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.0 sueciviy=0.0),2017-09-30,52,,,,,
17,rdorfM MaryEhrenwoh CRWP ?his! hanks,Senimen(polariy=0.2 sueciviy=0.2),2017-09-30,0,,,,,
18, O2A: COMPEIION IME! Fancy winning 2x No3sofficial ix M &amp; G  for 2 people + 2 signed -shis? o ener jus ! hps://.co/\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.625 sueciviy=0.75),2017-09-30,21,,,,,
19, hungryhouse: Wan o #rySomehingNew his weekend? Pause &amp; share your din-spiraion resul wih us - you could win \xc3\x82\xc2\xa325 credi! hps:/\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=1.0 sueciviy=0.4),2017-09-30,59,,,,,
20, oysrusuk: Is #WinIWednesday ime! ? o win #Desiny2 on eiher #PS4 or #Xx follow oysRUsUK &amp; . Ends 4h Oc hps://.co/5jkz\xc3\xa2\xe2\x82\xac\xc2\xa6,Senimen(polariy=0.8 sueciviy=0.4),2017-09-30,1090,,,,,
21,id you know we offer a free local collecion and delivery service? \n#onidge #Sevenoaks #surroundingareas #servicewihasmile,Senimen(polariy=0.2 sueciviy=0.4),2017-09-30,0,,,,,
