Sr_no,Tweets,Retweet_Count
1,Oracle soluions coupled wih nex-gen ech fech s z resuls.,20
2,Andrew_Clarkson EWFC1913 ,0
3,Andrew_Clarkson EWFC1913 Up he Clarkson ???,0
4, silennighds: Were giving away some sleep ndles o 2 lucky winners! WEE o ener! #WIN &amp;Cs: hps://.co/4U7Rh9sxPl hps://.\xc3\xa2\xe2\x82\xac\xc2\xa6,714
5, O2academyix: Win a pair of ? o cinroducing\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s ? ay celeaions! Follow &amp; quoe wih who you wan o see o ener!\n&amp;C\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s: hps\xc3\xa2\xe2\x82\xac\xc2\xa6,19
6, Aromisico: YES his #WeekEnd u can win a #COFFEE GIF SE\nJoin in Like/ o #WIN * \n#FridayFeeling #WinCoffee\n*Cs hps://.co/ydK\xc3\xa2\xe2\x82\xac\xc2\xa6,45
7, Aquaadsuk: Join Gru &amp; he Minions on heir advenures wih our Despicae Me ndle! Jus  for he chance o #win!\n&amp;CS: hps://.\xc3\xa2\xe2\x82\xac\xc2\xa6,823
8, dama_uk: o  in wih a chance of winning hese gorgeous Coussin Dair os simply follow &amp; ! Ends 06/010 12pm &amp;Cs: hps://.co\xc3\xa2\xe2\x82\xac\xc2\xa6,665
9,os populous counries in 2050:\n\n1 India ??\n2 China ??\n3 US ??\n4 Nigeria ??\n5 Indonesia ??\n6 Pakisan ??\n7 azil\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/REJE0o09wq,1
10, nauralworld_: Is #WinIWednesday! FLW &amp;  wih #MyNauralWorld o #win our hair reamen oils. Ends 29.9 &amp;Cs hps://.co/GpJL\xc3\xa2\xe2\x82\xac\xc2\xa6,367
11, lanceacive: Happy #WinIWednesday! FLW &amp;  wih #lanceAciveFormula o #win our Dragons ood range ? Ends 29.9. &amp;Cs hps://\xc3\xa2\xe2\x82\xac\xc2\xa6,758
12, nauralworld_: Happy #WinIWednesday ? FLW &amp;  wih #MyNauralWorld o #win our hair reamen oils. Ends 29.9 &amp;Cs hps://.co/Gp\xc3\xa2\xe2\x82\xac\xc2\xa6,521
13, ColorspoUK: Is #FreeeFriday ime! FLW &amp;  wih #Colorspo o #win our 30 Day ining kis ? &amp;Cs apply hps://.co/hdV0oGS7sJ\xc3\xa2\xe2\x82\xac\xc2\xa6,471
14, PicknPay: Wan R50 off a fuure shop? If you\xc3\xa2\xe2\x82\xac\xe2\x84\xa2re a Sma Shopper we can make i happen! s &amp; Cs &g; hps://.co/iCVUYc3dJhps://.co/y\xc3\xa2\xe2\x82\xac\xc2\xa6,36
15, Aul19India: IndianDiplomacy PrakashJavdekar HRDMinisry IndEmoscow Sir Why no acion on #SchoolFeeLoo? #PresidiumouringKids\xc3\xa2\xe2\x82\xac\xc2\xa6,21
16, SoFragrance: #Win a So...? Floral Crush EPD &amp; Fragrance Mis now!  Follow &amp; ag your F!\n#Giveaway #Compeiion  &amp;Cs -hps://.c\xc3\xa2\xe2\x82\xac\xc2\xa6,82
17, YSHased: 170930 Yoo Seung Ho fanmeeing in Mielparque Hall Osaka\n\xc3\xa2\xe2\x82\xac\xc2\xa2\nCr: as agged\n\xc3\xa2\xe2\x82\xac\xc2\xa2\n#??? #???? #yooseungho #fanmeeing #YSHased #yo\xc3\xa2\xe2\x82\xac\xc2\xa6,52
18,rdorfM MaryEhrenwoh CRWP ?his! hanks,0
19, O2A: COMPEIION IME! Fancy winning 2x No3sofficial ix M &amp; G  for 2 people + 2 signed -shis? o ener jus ! hps://.co/\xc3\xa2\xe2\x82\xac\xc2\xa6,21
20, hungryhouse: Wan o #rySomehingNew his weekend? Pause &amp; share your din-spiraion resul wih us - you could win \xc3\x82\xc2\xa325 credi! hps:/\xc3\xa2\xe2\x82\xac\xc2\xa6,59
21, oysrusuk: Is #WinIWednesday ime! ? o win #Desiny2 on eiher #PS4 or #Xx follow oysRUsUK &amp; . Ends 4h Oc hps://.co/5jkz\xc3\xa2\xe2\x82\xac\xc2\xa6,1090
22,id you know we offer a free local collecion and delivery service? \n#onidge #Sevenoaks #surroundingareas #servicewihasmile,0
23,pakcheman was a Gues Insrucor a our Media &amp; Communicaions sics Class oday. I was an explosive session! hps://.co/aNsM8fWwoY,0
24,his fesive season ackle he menace of #WaerLeakage in your home. We wish you all a #HappyDusshera! Know more a\xc3\xa2\xe2\x82\xac\xc2\xa6 hps://.co/lIw72ddROp,0
