Sr No,Tweets,Retweet_Count,Sentiment_Polarity,Subjectivity
1,How will Infosys reboot. A behind-the-scenes account of the Vishal Sikka-Narayana Murthy showdown.,20,0,0
2,@PankajPachauri  @Nidhi must also ask what is the role of @jayantsinha  for exit of vishal sikka from Infosys?,0,0,0
3,Infosys CEO Vishal Sikka resigns: A timeline of events that led to the move,0,0,0
4,Vishal Sikka Resigns as Infosys CEO says Attrition is far lower than other fi,0,-0.0125,0.6875
5,@himanshumantri1: Demonetization of Vishal Sikka ?\n#Infosys #VishalSikka,2,0,0
6,"Translating names of ppl from ""Sikka"" community to English \nu get names of new altcoins.\n@Infosys\' ex CEO Vishal Sikka is ""BigCoin"" !",0,0.085227272727273,0.227272727272727
7,@Finacle: Mediterranean Bank goes live with Infosys Finacle lending solution \n\n#BankingTechnology #FinTech #FinServ,3,0.136363636363636,0.5
8,@ThePrintIndia: I am surprised that a company like Infosys (which should have had everything together didn't handle GST back-end better\xc3\xa2\xe2\x82\xac\xc2\xa6,8,0.1,0.9
9,@craigbrownphd: Huawei and Infosys Sign a MoU to Cooperate in IT and Software Talent Development,314,0,0
10,@InfosysEvents: Take a spin at #InfosysAtOOW booth 1602 &amp; stand a chance to win! https://t.co/Rha97Tgff5 #OOW17 https://t.co/gswDTNV0uN,4,1,0.4
11,@InfosysEvents: Visit #InfosysAtOOW booth 1602 and experience #VirtualReality at its best! See the future of learning. https://t.co/7ScY\xc3\xa2\xe2\x82\xac\xc2\xa6,3,0.5,0.2125
12,@theBigOldBaby @Infosys Calls for party ain't it ?? ????? Once again Congratulations Shalin,0,0,0
13,"Infosys rolls out ""driver-less golfing cart"" to showcase the power of AI",0,0,0
14,Infosys introduces private cloud services built with Suse OpenStack - https://t.co/d11Kkrqhfp,0,0,0.375
15,Cma Cgm Group Signs Strategic Partnership With Infosys To Accelerate Of Its. [https://t.co/dtQ8HjnWsK] https://t.co/YBKA9ScMbZ,0,0,0
16,@BankingTechno: Malta's @MedBankMT live with new #lendtech Infosys @Finacle: https://t.co/5fYRoBw1mx #fintech #lending #bankingtechnolo\xc3\xa2\xe2\x82\xac\xc2\xa6,3,0.136363636363636,0.477272727272727
17,@BankingTechno: Mediterranean Bank live with new #lendtech Infosys Finacle: https://t.co/5fYRoBw1mx #lending #fintech #bankingtech #Mal\xc3\xa2\xe2\x82\xac\xc2\xa6,1,0.136363636363636,0.477272727272727
18,@DeependerSHooda: As one who started out as Software Engineer at @Infosys I feel sad at ongoing. Infy needs to preserve what it stood f\xc3\xa2\xe2\x82\xac\xc2\xa6,155,-0.5,1
19,@TheQuint: Senior employees of IT giant Infosys have allegedly been receiving vulgar emails defaming the company.\nhttps://t.co/T9X3RYjvYM,2,-0.266666666666667,0.633333333333333
20,Infosys Limited $INFY vs. SCIENCE APPLICATIONS INTERNATIONAL CORPORATION $SAIC Critical Review https://t.co/sDAu3cdKde,0,-0.023809523809524,0.314285714285714
21,@Mysuru_Infra: Hebbal lake mysuru undergoing massive rejuvenation. Works taken by @Infosys under CSR grants to tune of 30cr #Mysore http\xc3\xa2\xe2\x82\xac\xc2\xa6,1,0,1
22,Hebbal lake mysuru undergoing massive rejuvenation. Works taken by @Infosys under CSR grants to tune of 30cr #Mysore https://t.co/s2LBJZrJrW,1,0,1
23,.@sureshpprabhu MCA call centers not able to solve it complaint SR603367 plz help us out @Infosys ,0,-0.275,0.4125
24,@doodleout @Hipsteroo7 @JagoSarbahaara Yes Infosys and Wipro and HCL and TCS and TVS did not create employment,0,0,0
25, Wr met Infosys  technical person in chennai he is unable to answer or soour issue at seva\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/gFlDlJ1HUw,0,-0.25,0.3
26,Huawei and Infosys : The signing of this memorandum is a milestone for both companies. https://t.co/Qa5Rmv1XIo,0,0,0
27,@PurposefulAI: With #InfosysNia amplify #Enterprise business capabilities at @oracleopenworld Booth #1602: https://t.co/ot4YxS3pFS #Info\xc3\xa2\xe2\x82\xac\xc2\xa6,1,0,0
28,Infosys Files Complaint Over Vulgar and Defamatory Emails to Staff https://t.co/sPOY6LO7kk,0,-0.5,0.5
29,Senior employees of IT giant Infosys have allegedly been receiving vulgar emails defaming the company.\nhttps://t.co/T9X3RYjvYM,2,-0.266666666666667,0.633333333333333
30,@indian24news: Infosys Micro Focus SUSE Launch Private Cloud Solution https://t.co/d8lROpfqqY #news #Technology https://t.co/kNoPyrs41p,2,0,0.375
31,Infosys Micro Focus SUSE Launch Private Cloud Solution https://t.co/d8lROpfqqY #news #Technology https://t.co/kNoPyrs41p,2,0,0.375
32,@NandanNilekani Wishing Infosys a turnaround &amp; a game changing year under your proven leadership,0,-0.4,0.4
33,"@ragavqualtrus @Anil_Tulsiram Infosys starts from ""Profit for the period""",0,0,0
34,Sample PESTEL Analysis of Infosys https://t.co/pGWfXc5k6f,0,0,0
35,@Anil_Tulsiram Is it allowed to stafrom PBT? That's also something I found a little strange. Infosys was also my\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/I5cZtU2JZs,0,-0.11875,0.325
36,Infosys Limited $INFY Cut to \xc3\xa2\xe2\x82\xac\xc5\x93Sell\xc3\xa2\xe2\x82\xac\xef\x86\x9d at BidaskClub https://t.co/WqK08oEUYi,0,-0.071428571428572,0.142857142857143
37,@daijiworldmgl: Bengaluru: Email from unknown accuses Infosys of spreading terrorism\nhttps://t.co/aepFIi5Uxo https://t.co/JKh7vqY3LA,1,-0.1,0.6
38,@leading_nowhere https://t.co/QxeTj3930k .. look at infosys page 116,0,0,0
39,"Infosys rolls out ""driver-less golfing cart"" to showcase the power of AI | Gadgets Now https://t.co/m0Z94c2127",0,0,0
40,@TVMohandasPai @nytimes @narendramodi You realised now only. What happened when u were in Infosys no idea abt Indi\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/3LAShJ9oQt,0,0,1
41,Infosys Accelerates Private Cloud Adoption with Micro Focus SUSE Openstack Solution https://t.co/xt68aXiPBV,0,0,0.375
42,Bengaluru: Email from unknown accuses Infosys of spreading terrorism\nhttps://t.co/aepFIi5Uxo https://t.co/JKh7vqY3LA,1,-0.1,0.6
43,@yesvinay: Attending workshop on Android App Development by Infosys. Strongly feel students must take up building good apps as their fin\xc3\xa2\xe2\x82\xac\xc2\xa6,1,0.566666666666667,0.666666666666667
44,Infosys introduces private cloud services built with Suse OpenStack - https://t.co/BQg7YUgoMC,0,0,0.375
45,Infosys Limited $INFY Expected to Announce Quarterly Sales of $2.78 Billion https://t.co/aiweDBFYpA,0,-0.085714285714286,0.271428571428571
46,@rameshsrivats: Wow. A 100-rupee coin. Truly a Vishal Sikka. https://t.co/ee3Er3QIqQ,329,0.1,1
47,1morePunita Sinha on Infosis boardobjectedTOby foundersbut Gujju Vishal Sikka sidestepped them1st3r PSUbut Pun\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/wnmQ9wtRAv,0,0,0
48,Demystifying AI ML DL with Vishal Sikka and real world examples https://t.co/xaXi5Se8PS,0,0.2,0.3
49,Demystifying AI ML DL with Vishal Sikka and real world examples https://t.co/17rSrF5GEx via @diginomica,0,0.2,0.3
50,@manu4luv: Earlier Vishal Sikka now Sanjay Rajagopalan quits ?\n\nSeems its my turn now ?,2,0,0.5
51,@Kailash111Bhati: #Gulzar \nVishal Sikka \nBarcelona \n#LordKabirGod has come on the earth in the form of #SantRampalJi \nWatch ? \nIshwar\xc3\xa2\xe2\x82\xac\xc2\xa6,248,0,0
52,Infosys gets a month to fix GSTN glitches https://t.co/UPiCCjmEjf,0,0,0
53,@scbrief: Achieving Compliance To Foreign Supplier Verification Program (FSVP by @Infosys https://t.co/uTdd7FY0Kp #supplychain #logisti\xc3\xa2\xe2\x82\xac\xc2\xa6,1,-0.125,0.125
54,Congratulations Sakshi for elected in Infosys.\n@TiwariTevar,0,0,0
55,Achieving Compliance To Foreign Supplier Verification Program (FSVP by @Infosys https://t.co/uTdd7FY0Kp #supplychain #logistics,1,-0.125,0.125
56,Indian IT company Infosys CEO Vishal Sikka resigns  https://t.co/9ZeHygRjrW,0,0,0
57,@AnilaSingh2 @TimesNow @BJP4India @BJP4UP @myogiadityanath If u were the founder of Infosys honestly can u tell me\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/8CzXRuJGcB,0,0.6,0.9
58,100+ questions infosys bet it will be what all the acronyms and what they mean plus the quick keys and what they mean,0,-0.097222222222222,0.625
59,Cma Cgm Group Signs Strategic Partnership With Infosys To Accelerate Of Its Informa. [https://t.co/85GNnMUzff]\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/DL5sQ1jxYG,0,0,0
60,@Narryhyd: This is awesome.. we contribute in a small way with our Pocharam campus fully on solar.. @Infosys https://t.co/tWOChmfv6Q,13,0.375,0.7
61,#BPM Infosys Limited (INFY Position Increased by UBS Asset &lt;b&gt;Management&lt;/b&gt; Americas Inc\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/l5VZBFsZsJ,0,-0.071428571428572,0.142857142857143
62,"@Infosys_nmurthy - Respected Sir . I am ready for ""earthshaking"" invention that would become household name globally. Need your support",0,0.1,0.25
63,Dear Infosys!\nWhat is the Procedure to Get Transfer to Kerala? ?\nHave Literally fell in love with the People... https://t.co/OmZshr8to9,0,0.5,0.6
64,"@oracleemeaps: Congratulations to our @oraclepartners #EMEAps @infosys ""Most Deals Booked"" @OracleCloud #OracleMSP. Time to celebrate at\xc3\xa2\xe2\x82\xac\xc2\xa6",16,0.5,0.5
65,Growing #BookValue for #Infosys Ltd. #INFY https://t.co/JMmVKeAbTY,0,0,0
66,@manaman_chhina @menakadoshi Infosys ? Punita Sinha is govt apointee,0,0,0
67,Senior Technology Architect - US @Infosys Richardson TX #AMIL #Oracle https://t.co/weLcue2xxQ,0,0,0
68,Idk when I will study. God Bless me and Infosys.,0,0,0
69,Infosys exam please be good to me ?,0,0.7,0.6
70,Infosys Limited $INFY Position Increased by UBS Asset Management Americas Inc. https://t.co/hvauNVyIEZ,0,-0.071428571428572,0.142857142857143
71,Infosys Limited $INFY Position Increased by UBS Asset Management Americas Inc. https://t.co/1yhxoHVwrN,0,-0.071428571428572,0.142857142857143
72,@DrGPradhan Structural reforms also needs some testing beforehand. No QA at all when Infosys tells on day of launch\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/LDRquTpZqM,0,0,0
73,Infosys Limited $INFY Position Increased by UBS Asset Management Americas Inc. https://t.co/55EnwVRhoN,0,-0.071428571428572,0.142857142857143
74,Infosys Limited $INFY Position Increased by UBS Asset Management Americas Inc. https://t.co/8gs2QKToSZ,0,-0.071428571428572,0.142857142857143
