Sr_No,Tweets,Sentiment Polarity,Subjectivity,Date,Retweet Count
1,How will Infosys reboot. A behind-the-scenes account of the Vishal Sikka-Narayana Murthy showdown.,0,0,2017-09-30,20
2,@PankajPachauri  @Nidhi must also ask what is the role of @jayantsinha  for exit of vishal sikka from Infosys?,0,0,2017-09-28,0
3,Infosys CEO Vishal Sikka resigns: A timeline of events that led to the move,0,0,2017-09-27,0
4,Vishal Sikka Resigns as Infosys CEO says Attrition is far lower than other fi,-0.0125,0.6875,2017-09-27,0
5,@himanshumantri1: Demonetization of Vishal Sikka ?\n#Infosys #VishalSikka,0,0,2017-09-26,2
6,"Translating names of ppl from ""Sikka"" community to English \nu get names of new altcoins.\n@Infosys\' ex CEO Vishal Sikka is ""BigCoin"" !",0.085227272727273,0.227272727272727,2017-09-20,0
7,@Finacle: Mediterranean Bank goes live with Infosys Finacle lending solution \n\n#BankingTechnology #FinTech #FinServ,0.136363636363636,0.5,2017-09-30,3
8,@ThePrintIndia: I am surprised that a company like Infosys (which should have had everything together didn't handle GST back-end better\xc3\xa2\xe2\x82\xac\xc2\xa6,0.1,0.9,2017-09-30,8
9,@craigbrownphd: Huawei and Infosys Sign a MoU to Cooperate in IT and Software Talent Development,0,0,2017-09-30,314
10,@InfosysEvents: Take a spin at #InfosysAtOOW booth 1602 &amp; stand a chance to win! https://t.co/Rha97Tgff5 #OOW17 https://t.co/gswDTNV0uN,1,0.4,2017-09-30,4
11,@InfosysEvents: Visit #InfosysAtOOW booth 1602 and experience #VirtualReality at its best! See the future of learning. https://t.co/7ScY\xc3\xa2\xe2\x82\xac\xc2\xa6,0.5,0.2125,2017-09-30,3
12,@theBigOldBaby @Infosys Calls for party ain't it ?? ????? Once again Congratulations Shalin,0,0,2017-09-30,0
13,"Infosys rolls out ""driver-less golfing cart"" to showcase the power of AI",0,0,2017-09-30,0
14,Infosys introduces private cloud services built with Suse OpenStack - https://t.co/d11Kkrqhfp,0,0.375,2017-09-30,0
15,Cma Cgm Group Signs Strategic Partnership With Infosys To Accelerate Of Its. [https://t.co/dtQ8HjnWsK] https://t.co/YBKA9ScMbZ,0,0,2017-09-30,0
16,@BankingTechno: Malta's @MedBankMT live with new #lendtech Infosys @Finacle: https://t.co/5fYRoBw1mx #fintech #lending #bankingtechnolo\xc3\xa2\xe2\x82\xac\xc2\xa6,0.136363636363636,0.477272727272727,2017-09-30,3
17,@BankingTechno: Mediterranean Bank live with new #lendtech Infosys Finacle: https://t.co/5fYRoBw1mx #lending #fintech #bankingtech #Mal\xc3\xa2\xe2\x82\xac\xc2\xa6,0.136363636363636,0.477272727272727,2017-09-30,1
18,@DeependerSHooda: As one who started out as Software Engineer at @Infosys I feel sad at ongoing. Infy needs to preserve what it stood f\xc3\xa2\xe2\x82\xac\xc2\xa6,-0.5,1,2017-09-30,155
19,@TheQuint: Senior employees of IT giant Infosys have allegedly been receiving vulgar emails defaming the company.\nhttps://t.co/T9X3RYjvYM,-0.266666666666667,0.633333333333333,2017-09-30,2
20,Infosys Limited $INFY vs. SCIENCE APPLICATIONS INTERNATIONAL CORPORATION $SAIC Critical Review https://t.co/sDAu3cdKde,-0.023809523809524,0.314285714285714,2017-09-30,0
21,@Mysuru_Infra: Hebbal lake mysuru undergoing massive rejuvenation. Works taken by @Infosys under CSR grants to tune of 30cr #Mysore http\xc3\xa2\xe2\x82\xac\xc2\xa6,0,1,2017-09-30,1
22,Hebbal lake mysuru undergoing massive rejuvenation. Works taken by @Infosys under CSR grants to tune of 30cr #Mysore https://t.co/s2LBJZrJrW,0,1,2017-09-30,1
23,.@sureshpprabhu MCA call centers not able to solve it complaint SR603367 plz help us out @Infosys ,-0.275,0.4125,2017-09-30,0
24,@doodleout @Hipsteroo7 @JagoSarbahaara Yes Infosys and Wipro and HCL and TCS and TVS did not create employment,0,0,2017-09-30,0
25, Wr met Infosys  technical person in chennai he is unable to answer or soour issue at seva\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/gFlDlJ1HUw,-0.25,0.3,2017-09-30,0
26,Huawei and Infosys : The signing of this memorandum is a milestone for both companies. https://t.co/Qa5Rmv1XIo,0,0,2017-09-30,0
27,@PurposefulAI: With #InfosysNia amplify #Enterprise business capabilities at @oracleopenworld Booth #1602: https://t.co/ot4YxS3pFS #Info\xc3\xa2\xe2\x82\xac\xc2\xa6,0,0,2017-09-30,1
28,Infosys Files Complaint Over Vulgar and Defamatory Emails to Staff https://t.co/sPOY6LO7kk,-0.5,0.5,2017-09-30,0
29,Senior employees of IT giant Infosys have allegedly been receiving vulgar emails defaming the company.\nhttps://t.co/T9X3RYjvYM,-0.266666666666667,0.633333333333333,2017-09-30,2
30,@indian24news: Infosys Micro Focus SUSE Launch Private Cloud Solution https://t.co/d8lROpfqqY #news #Technology https://t.co/kNoPyrs41p,0,0.375,2017-09-30,2
31,Infosys Micro Focus SUSE Launch Private Cloud Solution https://t.co/d8lROpfqqY #news #Technology https://t.co/kNoPyrs41p,0,0.375,2017-09-30,2
32,@NandanNilekani Wishing Infosys a turnaround &amp; a game changing year under your proven leadership,-0.4,0.4,2017-09-30,0
33,"@ragavqualtrus @Anil_Tulsiram Infosys starts from ""Profit for the period""",0,0,2017-09-30,0
34,Sample PESTEL Analysis of Infosys https://t.co/pGWfXc5k6f,0,0,2017-09-30,0
