b'.@Oracle solutions coupled with next-gen tech fetch best biz results. Know how at booth 1602\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/lAGpixpxEI,Sentiment(polarity=0.0 subjectivity=0.0),2017-09-30 09:48:33,20'
b'@Andrew_Clarkson @EWFC1913 Came up on me timeline... 8 years ago... use it as motivation https://t.co/adJVPXMO19,Sentiment(polarity=0.0 subjectivity=0.0),2017-09-30 11:47:46,0'
b'@Andrew_Clarkson @EWFC1913 Up the Clarkson ???,Sentiment(polarity=0.0 subjectivity=0.0),2017-09-30 11:45:05,0'
b"RT @silentnightbeds: We're giving away some sleep bundles to 2 lucky winners! TWEET to enter! #WIN T&amp;Cs: https://t.co/4U7Rh9sxPl https://t.\xc3\xa2\xe2\x82\xac\xc2\xa6,Sentiment(polarity=0.6604166666666667 subjectivity=0.6166666666666667),2017-09-30 11:38:41,714"
b'RT @O2academybrix: Win a pair of ? to @bbcintroducing\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s ? bday celebrations! Follow &amp; quote with who you want to see to enter!\nT&amp;C\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s: https\xc3\xa2\xe2\x82\xac\xc2\xa6,Sentiment(polarity=1.0 subjectivity=0.4),2017-09-30 11:38:40,19'
b'RT @Aromistico: YES this #WeekEnd u can win a #COFFEE GIFT SET\nJoin in Like/RT to #WIN * \n#FridayFeeling #WinCoffee\n*TCs https://t.co/ydK\xc3\xa2\xe2\x82\xac\xc2\xa6,Sentiment(polarity=0.8 subjectivity=0.4),2017-09-30 11:38:13,45'
b'RT @Aquabeadsuk: Join Gru &amp; the Minions on their adventures with our Despicable Me bundle! Just RT for the chance to #win!\nT&amp;CS: https://t.\xc3\xa2\xe2\x82\xac\xc2\xa6,Sentiment(polarity=1.0 subjectivity=0.4),2017-09-30 11:37:09,823'
b"RT @damart_uk: To be in with a chance of winning these gorgeous Coussin D'air Boots simply follow &amp; RT! Ends 06/010 12pm T&amp;Cs: https://t.co\xc3\xa2\xe2\x82\xac\xc2\xa6,Sentiment(polarity=0.39999999999999997 subjectivity=0.669047619047619),2017-09-30 11:36:58,665"
b'Most populous countries in 2050:\n\n1 India ??\n2 China ??\n3 US ??\n4 Nigeria ??\n5 Indonesia ??\n6 Pakistan ??\n7 Brazil\xc3\xa2\xe2\x82\xac\xc2\xa6 https://t.co/REJE0o09wq,Sentiment(polarity=0.5 subjectivity=0.5),2017-09-30 11:32:23,1'
b"RT @naturalworld_: It's #WinItWednesday! FLW &amp; RT with #MyNaturalWorld to #win our hair treatment oils. Ends 29.9 T&amp;C's https://t.co/BzGpJL\xc3\xa2\xe2\x82\xac\xc2\xa6,Sentiment(polarity=0.8 subjectivity=0.4),2017-09-30 11:19:47,367"
b"RT @Balanceactive: Happy #WinItWednesday! FLW &amp; RT with #BalanceActiveFormula to #win our Dragon's Blood range ? Ends 29.9. T&amp;C's https://t\xc3\xa2\xe2\x82\xac\xc2\xa6,Sentiment(polarity=0.9 subjectivity=0.7),2017-09-30 11:19:34,758"
b"RT @naturalworld_: Happy #WinItWednesday ? FLW &amp; RT with #MyNaturalWorld to #win our hair treatment oils. Ends 29.9 T&amp;C's https://t.co/BzGp\xc3\xa2\xe2\x82\xac\xc2\xa6,Sentiment(polarity=0.8 subjectivity=0.7),2017-09-30 11:17:28,521"
b"RT @ColorsportUK: It's #FreebieFriday time! FLW &amp; RT with #Colorsport to #win our 30 Day tinting kits ? T&amp;C's apply https://t.co/hdV0oGS7sJ\xc3\xa2\xe2\x82\xac\xc2\xa6,Sentiment(polarity=0.8 subjectivity=0.4),2017-09-30 11:17:24,471"
